Round,Bet,Total Bets,Profit/Loss
1,10,10,10
2,10,20,20
3,20,30,10
4,40,50,-10
5,80,90,-50
6,160,170,-130
7,10,330,30
8,20,340,20
9,10,360,40
10,20,370,30
11,10,390,50
12,10,400,60
13,20,410,50
14,40,430,30
15,10,470,70
16,10,480,80
17,10,490,90
18,20,500,80
19,10,520,100
20,20,530,90
