Round,Bet,Total Bets,Profit/Loss,Win Status,Roulette Result
185,80,4040,920,Lost,8 (Black)
186,160,4120,840,Lost,16 (Black)
187,10,4280,1000,Won,23 (Red)
188,20,4290,990,Lost,28 (Black)
189,10,4310,1010,Won,11 (Red)
190,20,4320,1000,Lost,37 (Green (00))
191,10,4340,1020,Won,27 (Red)
192,20,4350,1010,Lost,6 (Black)
193,40,4370,990,Lost,8 (Black)
194,80,4410,950,Lost,22 (Black)
195,160,4490,870,Lost,34 (Black)
196,10,4650,1030,Won,5 (Red)
197,10,4660,1040,Won,33 (Red)
198,20,4670,1030,Lost,2 (Black)
199,40,4690,1010,Lost,24 (Black)
200,80,4730,970,Lost,2 (Black)
